hospital_id,hospital_name,address,district,state,latitude,longitude,contact,specialties,facilities,emergency_services,hospital_category,total_num_beds,number_doctor
HOSP-305,Centre For Sight,"S.C.O - 809- 810,\n17G, Sector 22A, Chandigarh, Chandigarh",Chandigarh,Chandigarh,30.750653,76.88052,+91-7181241943,"Emergency, Orthopedics, Spine Surgery, Trauma Care, Physical Medicine","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,278,50
HOSP-306,Chaitanya Hospital,"Site No.1 and 2, Sector 44-C, Chandigarh, Chandigarh",Chandigarh,Chandigarh,30.743309,76.79718,9988808880,Obstetrics and Gynaecology,"Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery, PET-CT",yes,private,291,52
HOSP-307,Dr Om Prakesh Satyam Netralaya,"65 A.B.R.S.Nagar, Ludhiana, Amritsar, Punjab",Amritsar,Punjab,30.844182,75.766299,+91-7051802512,"Obstetrics & Gynecology, Pediatrics, Emergency, Neonatology, Infertility","Emergency, General Ward, ICU, Pharmacy, Digital X-Ray",yes,private,54,9
HOSP-308,Ludhiana Eye Care and Phaco Centre,"Rampura Village Road, Rampura Phool, Bathinda, Punjab",Bathinda,Punjab,30.786943,75.773801,+91-6958682846,"Emergency, Pulmonology, Critical Care Medicine, Infectious Diseases, General Medicine","Advanced ICU, Dialysis, Organ Transplant, Emergency, Blood Bank",no,private,67,12
HOSP-309,Ludhiana Maternity Hospital,"Next To Pukhraj Cinema, G.T Road, Bathinda, Punjab",Bathinda,Punjab,30.941766,75.727439,+91-6599310825,"Dermatology, Plastic Surgery, General Medicine, Emergency, ENT","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,80,14
HOSP-310,Advance Ludhiana Eye Hospital,"B-38/4 & 30/13, City Chowk, Kapurthala",Kapurthala,Punjab,30.988293,76.007971,+91-9163119785,"Neurology, Neurosurgery, Emergency, Psychiatry, Rehabilitation","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",yes,private,93,16
HOSP-311,A.P. Hospital,"Race Course Road, Amritsar, Punjab",Amritsar,Punjab,31.660685,74.892957,+91-6440213415,"Emergency, Cardiology, Neurology, General Medicine, Trauma Care, Pulmonology","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,106,19
HOSP-312,Adlakha Hospital,"Insde Sultanwind Gate, Old Lakkar Mandi, Near Jallian Wala Bagh, Amritsar, Punjab",Amritsar,Punjab,31.527178,74.776579,+91-8906402157,"Emergency, Trauma Care, Neurology, Cardiology, General Surgery, Nephrology","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",yes,private,119,21
HOSP-313,Aggarwal Nursing Home,"309,Green Avenue,Circular Road,Old Jail Road, Amritsar, Punjab",Amritsar,Punjab,31.479796,74.830346,+91-9181143731,"Emergency, General Medicine, Pediatrics, Orthopedics, Obstetrics & Gynecology","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,132,23
HOSP-314,Ajit Hospital,"427, Kabir Park, Kot Khalsha Road, Opposite University, Amritsar, Punjab",Amritsar,Punjab,31.503717,74.820403,+91-9831882064,"Cardiology, Cardiothoracic Surgery, Emergency, Vascular Surgery, ICU","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery, PET-CT",yes,private,145,26
HOSP-315,Jassi Hospital,"No. 11/4, Dharampura Colony,Jalandhar Road,Batala, Firozpur, Punjab",Firozpur,Punjab,31.391366,75.485697,+91-8342331444,"Oncology, Radiology, Chemotherapy, General Surgery, Nuclear Medicine","Emergency, General Ward, ICU, Pharmacy, Digital X-Ray",yes,private,158,28
HOSP-316,Dr Paramjit Singh,"20,Shastri Market,Jalandhar Road, Gurdaspur, Punjab",Gurdaspur,Punjab,31.374774,75.59311,+91-6373399426,"Emergency, Gastroenterology, Hepatology, General Surgery, Internal Medicine","Advanced ICU, Dialysis, Organ Transplant, Emergency, Blood Bank",yes,private,171,30
HOSP-317,Manpreet Clinic,"Main Jalandhar Road, Batala, Gurdaspur, Punjab",Gurdaspur,Punjab,31.371227,75.605217,+91-8536146025,"Emergency, Nephrology, Urology, Dialysis, Transplant Surgery","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,184,33
HOSP-318,Pupri Hospital and Rural Surgical Centre,"Jaipur,Ward No-4,Po-Janakpur Road, Sitamarhi, Bihar",Sitamarhi,Bihar,26.893514,75.906559,+91-7812140441,"Emergency, Orthopedics, Spine Surgery, Trauma Care, Physical Medicine","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",yes,private,197,35
HOSP-319,Jaipur Children Hospital - Rsby,"Model Town  Near Bus Stand, Fatehabad, Haryana",Fatehabad,Haryana,26.881794,75.823768,+91-6136505587,"Pediatrics, Neonatology, Pediatric Surgery, Emergency, General Medicine","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,210,37
HOSP-320,Raman Munjal Memorial Hospital,"67 Km Stone Delhi Jaipur Highway, Sidhrawali t, Gurgaon, Haryana",Gurgaon,Haryana,27.015119,75.738867,+91-6127978094,"Obstetrics & Gynecology, Pediatrics, Emergency, Neonatology, Infertility","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",yes,private,223,40
HOSP-321,Jaipur Hospital,"Opposite Jai School Karnal Road, Kaithal, Haryana",Kaithal,Haryana,26.970939,75.908765,+91-6402418010,"Emergency, Pulmonology, Critical Care Medicine, Infectious Diseases, General Medicine","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,236,42
HOSP-322,Rathi Womens Hospital,"Nr. Anupam Shoping Center,Jodhpur Cross Roads Satellite, Ahmedabad, Gujarat",Ahmedabad,Gujarat,26.122167,73.147354,+91-6939042955,"Dermatology, Plastic Surgery, General Medicine, Emergency, ENT","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery, PET-CT",yes,private,249,44
HOSP-323,Aastha Eye Hospital,"S. 3/A, Goldcoin Complex, Jodhpur Char Rasta, Satellite Road, Ahmedabad, Gujarat",Ahmedabad,Gujarat,26.129591,72.978731,+91-6999270936,"Neurology, Neurosurgery, Emergency, Psychiatry, Rehabilitation","Emergency, General Ward, ICU, Pharmacy, Digital X-Ray",yes,private,262,47
HOSP-324,Abhisek Maternity and Nursing Home,"104-105, 1St Floor, Shivalay-2/A, Nr Hasubhai Park, Jodhpur Gam, Ahmedabad, Gujarat",Ahmedabad,Gujarat,26.2472,72.968161,+91-8170484433,"Emergency, Cardiology, Neurology, General Medicine, Trauma Care, Pulmonology","Advanced ICU, Dialysis, Organ Transplant, Emergency, Blood Bank",no,private,275,49
HOSP-325,Astha Eye Hospital,"S-3/A, Gold Coin Complex, ,Jodhpur Char Rasta, Satellite Road, Ahmedabad, Gujarat",Ahmedabad,Gujarat,26.216269,73.082152,+91-8585650756,"Emergency, Trauma Care, Neurology, Cardiology, General Surgery, Nephrology","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,288,51
HOSP-326,Kesar Surgical And Maternity Hospital - Vadodara,"Opp Bazar Samiti, Gurukrupa Society, Chhota Udaipur, Vadodara, Gujarat",Vadodara,Gujarat,24.585445,73.712479,+91-6113971123,"Emergency, General Medicine, Pediatrics, Orthopedics, Obstetrics & Gynecology","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",yes,private,51,9
HOSP-327,"Chc, Udaipur","Udaipur, Lahaul and Spiti, Himachal Pradesh",Lahaul and Spiti,Himachal Pradesh,24.628396,73.666023,+91-8410529190,"Cardiology, Cardiothoracic Surgery, Emergency, Vascular Surgery, ICU","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,64,11
HOSP-328,New Swasthya Sadan,"Vijai Bhawan Kothi, Opposite Raj Shree Takies , Udaipur Road, Dungarpur, Rajasthan",Dungarpur,Rajasthan,24.466636,73.812979,+91-6854001193,"Oncology, Radiology, Chemotherapy, General Surgery, Nuclear Medicine","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",yes,private,77,13
HOSP-329,Alakh Nayan Mandir Eye Institute,"Ashok Nagar, Durga Nursery Road, Opposite Sukhadia Memorial, Udaipur, Rajasthan",Udaipur,Rajasthan,24.580399,73.771151,+91-9075280817,"Emergency, Gastroenterology, Hepatology, General Surgery, Internal Medicine","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,90,16
HOSP-330,Prameela Hospital,"10 - 3 - 206 Kotakommala Street Tirupati, Chittoor, Andhra Pradesh",Chittoor,Andhra Pradesh,25.20577,75.97543,+91-8791232393,"Emergency, Nephrology, Urology, Dialysis, Transplant Surgery","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery, PET-CT",yes,private,103,18
HOSP-331,Prof. D. Ramakotaiah Childerns Hospital,"Besides Sivalayam, Kothapet, Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,25.176594,75.894915,+91-9012167820,"Emergency, Orthopedics, Spine Surgery, Trauma Care, Physical Medicine","Emergency, General Ward, ICU, Pharmacy, Digital X-Ray",yes,private,116,20
HOSP-332,Vyshnave Nursing Home - Repalle,"11-16-137 Kotavari Street, Near Lic Office, Repalle, Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,25.186821,75.863013,22599,"Pediatrics, Neonatology, Pediatric Surgery, Emergency, General Medicine","Advanced ICU, Dialysis, Organ Transplant, Emergency, Blood Bank",no,private,129,23
HOSP-333,Visweswara and Gopal Krishna Nursing Home,"Rajghar Kota, Narasarao Peta, Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,25.297523,75.941012,08647  222359,"Obstetrics & Gynecology, Pediatrics, Emergency, Neonatology, Infertility","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,142,25
HOSP-334,Darshan Eye Hospital,"Solanki Complex Opp Town Hall, Dadra and Nagar Haveli, Dadra and Nagar Haveli",Dadra and Nagar Haveli,Dadra and Nagar Haveli,31.080811,77.188311,"0260    2643465, 264215","Emergency, Pulmonology, Critical Care Medicine, Infectious Diseases, General Medicine","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",yes,private,155,27
HOSP-335,Solanki Orthopaedic Hospital,"Nr. S.T.Depot, Mig Colony Corner, Summair Club Road, Jamnagar, Gujarat",Jamnagar,Gujarat,31.199059,77.170717,+91-8340505846,"Dermatology, Plastic Surgery, General Medicine, Emergency, ENT","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,168,30
HOSP-336,Dr Solanki Hospital,"Near New S T Stand Nadiad Nadiad, Kheda, Gujarat",Kheda,Gujarat,31.114559,77.159759,+91-7801823908,"Neurology, Neurosurgery, Emergency, Psychiatry, Rehabilitation","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",yes,private,181,32
HOSP-337,Madhab Surgical and Maternity Clinic,"Dharamshala Road (Near Manoranjan Club), Kishanganj, Bihar",Kishanganj,Bihar,32.179303,76.220838,+91-6946785248,"Emergency, Cardiology, Neurology, General Medicine, Trauma Care, Pulmonology","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,194,34
HOSP-338,Manokamna Health Care,"Indralok, Dharamshala Chowk, Patna, Bihar",Patna,Bihar,32.197425,76.292191,9308129667,"Emergency, Trauma Care, Neurology, Cardiology, General Surgery, Nephrology","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery, PET-CT",yes,private,207,37
HOSP-339,R. K. Hospital,"Dharamshala Road, Near Gandhi Maidan, Supaul, Bihar",Supaul,Bihar,32.070222,76.376024,+91-7929338154,"Emergency, General Medicine, Pediatrics, Orthopedics, Obstetrics & Gynecology","Emergency, General Ward, ICU, Pharmacy, Digital X-Ray",yes,private,220,39
HOSP-340,Rajpriya Surgical Center,"Ratriya Dharamshala, Gaushala Road, Raigarh, Chhattisgarh",Raigarh,Chhattisgarh,32.211423,76.42961,+91-8530876844,"Cardiology, Cardiothoracic Surgery, Emergency, Vascular Surgery, ICU","Advanced ICU, Dialysis, Organ Transplant, Emergency, Blood Bank",yes,private,233,41
HOSP-341,City Plaza Eye Clinic,"301,City Rishikesh Tower Next To Dalia Patel Wadi,Near Geeta Mandir, Vadodara, Gujarat",Vadodara,Gujarat,30.438912,77.945459,+91-7194819984,"Oncology, Radiology, Chemotherapy, General Surgery, Nuclear Medicine","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,246,44
HOSP-342,Saakshi Children Hyospital,"1St Floor,Rishikesh Tower, Vadodara, Gujarat",Vadodara,Gujarat,30.249657,77.939849,+91-9476477323,"Emergency, Gastroenterology, Hepatology, General Surgery, Internal Medicine","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",yes,private,259,46
HOSP-343,Rishikesh Medical Foundation and Research Centre,"9,Mukherjee Colony,Gangapur Road, Nashik, Maharashtra",Nashik,Maharashtra,30.323857,77.924002,+91-9733616459,"Emergency, Nephrology, Urology, Dialysis, Transplant Surgery","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,272,48
HOSP-344,Micky Mouse Wild Clinic And Hospital,"Laxmibai Deore Bhuvan,Near Hrishikesh Hrishikesh Hospital Murkute Colony, Gangapur Road, Nashik, Maharashtra",Nashik,Maharashtra,30.303148,78.029214,+91-6027911967,"Emergency, Orthopedics, Spine Surgery, Trauma Care, Physical Medicine","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",yes,private,285,51
HOSP-345,Bhanu Nursing Home and Eye Hospital,"Endowments Colony, 100 Building Centre Srinagar, East Godavari, Andhra Pradesh",East Godavari,Andhra Pradesh,34.125541,74.944259,"0884  2368555,6698666  0","Pediatrics, Neonatology, Pediatric Surgery, Emergency, General Medicine","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,298,53
HOSP-346,Nayana Eye Care,"2-10-50 Srinagar, Bhanugudi Junction Kakinada 533003  East Godavari",East Godavari,Andhra Pradesh,34.213767,74.722311,"0884    3299000, 6599000","Obstetrics & Gynecology, Pediatrics, Emergency, Neonatology, Infertility","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery, PET-CT",yes,private,61,10
HOSP-347,Drishti Eye Centre,"Plot Number 114A, Lane Opposite SBI Yellareddyguda Branch, Srinagar Colony\n, Hyderabad, Andhra Pradesh",Hyderabad,Andhra Pradesh,34.074378,74.82708,040 6661 8097,"Spectacle and Contact Lens Correction, Cataract Surgery, Glaucoma- Detection and Treatment, Retinal Diseases, ROP Screening, Laser Treatment, Uveitis Treatment, Comprehensive Eye Check Up","Emergency, General Ward, ICU, Pharmacy, Digital X-Ray",yes,private,74,13
HOSP-348,Chandamama Hospital,"Srinagar Colony, Ring Road, Krishna, Andhra Pradesh",Krishna,Andhra Pradesh,34.108501,74.786932,2540872,"Dermatology, Plastic Surgery, General Medicine, Emergency, ENT","Advanced ICU, Dialysis, Organ Transplant, Emergency, Blood Bank",yes,private,87,15
HOSP-349,Sambasiva Hospital,"Main Road,Beride Union Bank Of India, East Godavari, Andhra Pradesh",East Godavari,Andhra Pradesh,32.842373,74.920928,+91-9259052811,"Neurology, Neurosurgery, Emergency, Psychiatry, Rehabilitation","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,100,18
HOSP-350,C V R Hospital,"Behind Pallvi Deluxe, Samba Shiva Peta, Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,32.786466,74.931262,0863  2225708,"Emergency, Cardiology, Neurology, General Medicine, Trauma Care, Pulmonology","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",yes,private,113,20
HOSP-351,Sai Priya Hospital,"Mainroad, Sambasivapet, Govtwomensgollegeroad, Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,32.713019,75.027139,0863  222106/2320883,"Emergency, Trauma Care, Neurology, Cardiology, General Surgery, Nephrology","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,126,22
HOSP-352,Sathvika Hospital,"1 St Line Sambasivapte, Naaz Centre, Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,32.74887,74.965163,2356074,"Emergency, General Medicine, Pediatrics, Orthopedics, Obstetrics & Gynecology","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",yes,private,139,25
HOSP-353,Chandravati Vardaan Hospital,"Sectora-314, Shantipuram, Phaphamau(Near Purani Chungi), Lucknow Road, Allahabad, Uttar Pradesh",Allahabad,Uttar Pradesh,26.865719,81.013457,+91-9460967357,"Cardiology, Cardiothoracic Surgery, Emergency, Vascular Surgery, ICU","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,152,27
HOSP-354,Raj Nursing Home,"G. T. Road, Gopi Ganj, Bhadohi, Sant Ravidas Nagar G. T. Road Allahabad-Varanasi Marg",Bhadohi,Uttar Pradesh,25.269841,82.901297,+91-6685731524,"Oncology, Radiology, Chemotherapy, General Surgery, Nuclear Medicine","Cancer Therapy, Chemotherapy, Radiation, ICU, Surgery, PET-CT",yes,private,165,29
HOSP-355,Rajhans Nursing Home,"Chauri Road, Bhadohi, Sant Ravidas Nagar Rewra Prasaspur, Varanasi",Bhadohi,Uttar Pradesh,25.354127,83.012328,+91-8998485882,"Emergency, Gastroenterology, Hepatology, General Surgery, Internal Medicine","Emergency, General Ward, ICU, Pharmacy, Digital X-Ray",yes,private,178,32
HOSP-356,City Hospital - Patna,"Maurya Path,Rukanpura Rukanpura,Bailey Road, Patna, Bihar",Patna,Bihar,26.406392,80.30178,+91-7815115025,"Emergency, Nephrology, Urology, Dialysis, Transplant Surgery","Advanced ICU, Dialysis, Organ Transplant, Emergency, Blood Bank",yes,private,191,34
HOSP-357,Bhulabhai Jivanji Patel Vaidkiya Trust,"Kanpura, Vyara, Tapi, Gujarat",Tapi,Gujarat,26.546725,80.383616,+91-7461364854,"Emergency, Orthopedics, Spine Surgery, Trauma Care, Physical Medicine","NICU, PICU, Maternity Ward, Emergency, Pediatric ICU",yes,private,204,36
HOSP-358,Annapurna Hospital ( Ramarao Hospital),"# 6/420, Babu Agraharam,Babu Agraharam, Chittoor, Andhra Pradesh",Chittoor,Andhra Pradesh,27.294297,77.918772,+91-7193448329,"Pediatrics, Neonatology, Pediatric Surgery, Emergency, General Medicine","Emergency, Trauma Unit, Operation Theater, 24x7 Ambulance",no,private,217,39
HOSP-359,Sri Venkateswara Nursing Home,"K. Agraharam , Amalapuram, East Godavari, Andhra Pradesh",East Godavari,Andhra Pradesh,27.185205,78.134713,231564,"Obstetrics & Gynecology, Pediatrics, Emergency, Neonatology, Infertility","ICU, Emergency, Ventilators, Blood Bank, CT Scan, Pathology",yes,private,230,41
HOSP-360,Raja Children's Hospital,"Near Venkateswaraswamy Temple,Near Venkateswaraswamy Vari Kalayana Mandapam,R.Agraharam Main Road, Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,27.279715,78.135059,+91-6667779376,"Emergency, Pulmonology, Critical Care Medicine, Infectious Diseases, General Medicine","Trauma Center, Emergency, ICU, Blood Bank, Dialysis, MRI",yes,private,243,43
HOSP-361,Star Hospital Pvt.Ltd.,"Bank Road,Gorakhpur, Bilaspur, Chhattisgarh",Bilaspur,Chhattisgarh,26.632368,83.398106,+91-6924765563,"Dermatology, Plastic Surgery, General Medicine, Emergency, ENT","Cardiac Cath Lab, Emergency, Advanced ICU, Ambulance, Pharmacy",yes,private,256,46
