hospital_id,Hospital_Name,Address_Original_First_Line,District,State,latitude,longitude,Telephone,Mobile_Number,specialties,facilities,emergency_services,Emergency_Num,Hospital_Category,Hospital_Care_Type,Total_Num_Beds,number_doctor,Sr_No,Location_Coordinates,Location,Discipline_Systems_of_Medicine,Subdistrict,Pincode,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID
HOSP-111,Phoenix Super Specialty Hospital & Trauma Center,"Lukerganj, GT Road",Prayagraj,Uttar Pradesh,25.447,81.815,+91-532-2601122,+91-532-2601122,"Emergency, Trauma Care, Neurology, Cardiology","Emergency, ICU, Neuro Trauma, Pharmacy",yes,+91-532-2601122,Private,Super Specialty,130,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSP-112,Heritage Multi Specialty Hospital,"Teliyarganj, Lucknow Road",Prayagraj,Uttar Pradesh,25.485,81.86,+91-532-2544333,+91-532-2544333,"Emergency, General Medicine, Orthopedics, Cardiology","Emergency, ICU, Diagnostics, Inpatient",yes,+91-532-2544333,Private,Multi Specialty,100,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSP-201,BHU Sir Sunderlal Hospital,BHU Campus,Varanasi,Uttar Pradesh,25.2754,82.9995,+91-542-2307500,+91-542-2307500,"Emergency, Cardiology, Neurology, Trauma Care, Oncology","Super Specialty, Trauma, Blood Bank, Organ Transplant",yes,+91-542-2307500,Government,Apex Institute,450,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSP-202,Heritage Hospital Lanka,Lanka,Varanasi,Uttar Pradesh,25.286,82.988,+91-542-2368888,+91-542-2368888,"Cardiology, Emergency, General Surgery","Cath Lab, Emergency, ICU",yes,+91-542-2368888,Private,Super Specialty,180,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSP-203,KGMU Super Specialty Hospital,"Shah Mina Road, Chowk",Lucknow,Uttar Pradesh,26.8687,80.9168,+91-522-2257450,+91-522-2257450,"Emergency, Trauma Care, Neurology, Cardiology, Nephrology","Trauma Center, Emergency, ICU, Advanced Surgery",yes,+91-522-2257450,Government,Medical University,500,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSP-204,Sanjay Gandhi PGIMS (SGPGI),Raebareli Road,Lucknow,Uttar Pradesh,26.745,80.939,+91-522-2668004,+91-522-2668004,"Cardiology, Nephrology, Oncology, Gastroenterology, Endocrinology","Super Specialty Care, Organ Transplant, Robotic Surgery",yes,+91-522-2668004,Government,Autonomous Apex Institute,420,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSP-205,Medanta Hospital Lucknow,"Sector A, Pocket 1, Amar Shaheed Path",Lucknow,Uttar Pradesh,26.795,81.002,+91-522-4505050,+91-522-4505050,"Cardiology, Emergency, Neurology, Organ Transplant, Critical Care","Advanced ICU, Cath Lab, Heart Institute, Emergency",yes,+91-522-4505050,Private,Multi Super Specialty,350,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSP-206,GSVM Medical College & Hallet Hospital,Swaroop Nagar,Kanpur,Uttar Pradesh,26.482,80.312,+91-512-2535555,+91-512-2535555,"Emergency, Trauma Care, Orthopedics, Cardiology","Emergency, Trauma, Blood Bank, Surgery",yes,+91-512-2535555,Government,Tertiary Care,380,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chakraborty Multi Speciality Hospital,Near Dollygunj Junction,South Andaman,Andaman and Nicobar Islands,,,03192 251971,0,,,,0,0,Hospital,0,,1.0,"11.6357989, 92.7120575",Near Dollygunj Junction,Allopathic,0,744101,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,35.0,640.0
,Inhs Dhanvantri,Medical Board Office,South Andaman,Andaman and Nicobar Islands,,,0,0,,,,0,0,0,0,,2.0,"11.8311681, 92.6586401",Medical Board Office,Allopathic,0,744101,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,35.0,640.0
,Maricar Hospital,Near Masjid,South Andaman,Andaman and Nicobar Islands,,,03192 233434,9933280204,,,,0,0,Hospital,0,,3.0,"11.8311681, 92.6586401",Near Masjid,Allopathic,0,744103,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,35.0,640.0
,Pillar Health Centre,"Lamba Line, P.B. No. 526",South Andaman,Andaman and Nicobar Islands,,,03192 233193,0,,,,0,0,0,0,,4.0,"11.6498468, 92.7294624","Lamba Line, P.B. No. 526",Allopathic,0,744103,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,35.0,640.0
,"G B Pant Hospital, Port Blair","GB Pant Road, City Centre, Port Blair",South Andaman,Andaman and Nicobar Islands,,,"03192 233665, 03192 246058, 03192 233455, 03192 230858",,,,,,Public/ Government,Hospital,0,,5.0,"11.6233774, 92.7264828","GB Pant Road, City Centre, Port Blair",Allopathic,0,744103,0,0,0,0,0,,,0,http://www.and.nic.in/C_charter/health/dhs/index.html#gph,"Surgery, Medicine, Gynaecology, Pediatrics, ENT, Pathology and Ophthalmology",,,,0.0,,,,,,,,,,,,,,,,,35.0,640.0
,"Care Hospital, Banjara","Road No.1, Banjara Hills",Hyderabad,Andhra Pradesh,,,"040 30418888, 040 66668888, 040 23234444",,,,,040 30418888,Private,Hospital,0,,6.0,"17.4274003, 78.4311174","Road No.1, Banjara Hills",Allopathic,0,500034,0,0,0,18001086666,0,0,info@carehospitals.com,0,www.carehospitals.com,"Anaesthesiology, Bio-Chemistry, Cardiac Yoga,\nCardiology\nCardiothoracic Surgery, Chest Physician, Critical Care, Dentistry and Maxillofacial Surgery, Dermatology, Diabetology, Dietetics, Emergency Medicine,\n Endocrinology, Endoscopy, Gastroenterology,\n Gastrointestinal Medicine,\n General Medicine,\n General Surgery,\n Geriatrics, Gynaecology,\n haematology, Hepatology,\n Internal Medicine,\n Interventional Radiology,\n Laboratory Medicine,\n Laparoscopic Surgery,\n Medical Oncology,\n Micro-Biology, Nephrology,\n Neuro Surgery, Neurology,\n Nuclear Medicine,\n Obstetrics and Gynaecology,\n Ophthalmology,\n Orthopedics and Traumatology,\nOtorhinolaryngology\n Pathology, Pediatric, Cardiology,\n Pediatric Surgery, Pediatric,\n Pediatric and Neonatology,\n Physiotherapy, Plastic Surgery and Cosmetic Surgery, Preventive, Medicine / Wellness, Psychiatry,\n Pulmonology, Radio-Diagnosis,\n Radiology, Respiratory, Medicine, Rheumatology, Sports Medicine\n Surgical Gastroenterology\n Surgical Oncology, Urology\n Vascular Surgery","Ambulance, Blood Bank,\nCasualty, Diagnostic, Services,\nDialysis Unit, Electrotherapy,\nEmergency Room, Exercise therapy,\nHome Health, Care Services\nLifestyle Clinic - A Preventive Medicine Centre, Pharmacy",,,,,,,,,,,,,,,,,,,,28.0,0.0
,Aasha Hospitals,"7/201, Court Road",Anantapur,Andhra Pradesh,,,08554    274194,9440285832,,,,0,0,0,0,,7.0,"14.6795736, 77.592469","7/201, Court Road Anantapur 515001  Anantapur",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Abhaya Kidney Care Multispeciality Hospital,"10-470, Adimurthy Nagar, Opposite Guild Off Service School",Anantapur,Andhra Pradesh,,,277444,0,,,,0,0,0,0,,8.0,,"10-470, Adimurthy Nagar, Opposite Guild Off Service School",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Baby Hospital,"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex",Anantapur,Andhra Pradesh,,,0,0,,,,0,0,0,0,,9.0,"14.6818877, 77.6005911","Hyma Test Tube Baby and Research Centre, Baby Hospital Complex, Sainagar,Anantapur",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Dr Akbar Eye Hospital And Laser Centre,"12-3-234, 6Th Cross Sai Nagar",Anantapur,Andhra Pradesh,,,08554    235009,0,,,,0,0,0,0,,10.0,"14.6723351, 77.6018211","12-3-234, 6Th Cross Sai Nagar Anantapur 515001  Anantapur",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Dr.Ysr Memorial Hospitals,"#12-2-878, I Cross, Sai Nagar,Near By Sbi Main Branch",Anantapur,Andhra Pradesh,,,08554  247155,0,,,,0,0,0,0,,11.0,,"12-2-878, I Cross, Sai Nagar,Near By Sbi Main Branch,.",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Hrudaya Children Hospital,Sai Nagar Iind Cross,Anantapur,Andhra Pradesh,,,0,0,,,,0,0,0,0,,12.0,"14.6749908, 77.6032432","Sai Nagar Iind Cross,Anantapur",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,"Jeevana Jyothi Hospitals Ltd.,","#15-381, Kamala Nagar",Anantapur,Andhra Pradesh,,,0,0,,,,0,0,0,0,,13.0,"17.4738037, 78.5641765","15-381, Kamala Nagar,.",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,K K Nursing Home,Opposite Annapurna Lodge Kamalanagar,Anantapur,Andhra Pradesh,,,08554  222133,0,,,,0,0,0,0,,14.0,,Opposite Annapurna Lodge Kamalanagar,0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Meda Nursing Home,Railway Station Road,Anantapur,Andhra Pradesh,,,08554    277562,0,,,,0,0,0,0,,15.0,"14.6818877, 77.6005911",Railway Station Road,0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Mnr Nursing Home,"12/3-269, Sai Nagar, 6Th Cross",Anantapur,Andhra Pradesh,,,0,0,,,,0,0,0,0,,16.0,"14.6723351, 77.6018211","12/3-269, Sai Nagar, 6Th Cross, Anantapur",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Mythri Hospitals,D No: 15/721 Kamala Nagar,Anantapur,Andhra Pradesh,,,"08554    274630, 245014, 9441074096",0,,,,0,0,0,0,,17.0,"14.6867872, 77.5832307",D No: 15/721 Kamala Nagar Anantapur 515001  Anantapur,0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Padmavathi Hospital,"Aravinda Nagar, 2 Nd Cross",Anantapur,Andhra Pradesh,,,08554  249966,0,,,,0,0,0,0,,18.0,"15.3474564, 75.1253824","Aravinda Nagar, 2 Nd Cross",0,0,515001,0,0,0,0,0,08554 249966,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Pavani Multi Speciality Hospital,"12-2-979,3Rd Cross, Sai Nagar",Anantapur,Andhra Pradesh,,,0,0,,,,0,0,0,0,,19.0,"14.6742267, 77.6025251","12-2-979,3Rd Cross, Sai Nagar, Anantapur",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Prasanthi Nursing Home,"#346, Court Road",Anantapur,Andhra Pradesh,,,0,0,,,,0,0,0,0,,20.0,"14.6818877, 77.6005911","346, Court Road,.",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Priya Multispeciality Hospital,"#12/2/991, Sai Nagar,Main Road",Anantapur,Andhra Pradesh,,,231908,0,,,,0,0,0,0,,21.0,"14.6723351, 77.6018211","12/2/991, Sai Nagar,Main Road, Anantpur",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Ravitej Nursing Home,"15-16, Kamala Nagar",Anantapur,Andhra Pradesh,,,0,0,,,,0,0,0,0,,22.0,"14.6805847, 77.6000775","15-16, Kamala Nagar, Anantapur",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Santhi Nursing Home,"Near R.T.C, Bus Stand",Anantapur,Andhra Pradesh,,,0,0,,,,0,0,0,0,,23.0,"13.9860276, 77.7658783","Near R.T.C, Bus Stand, Anantapur",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Sri Prakash Eye Hospital,"# 12-3-216, Sai Nagar Main Road, 5Th Cross,Beside Veterinary Hospital",Anantapur,Andhra Pradesh,,,08554  22106,0,,,,0,0,0,0,,24.0,,"12-3-216, Sai Nagar Main Road, 5Th Cross,Beside Veterinary Hospital, Anantpur,",0,0,515001,0,0,0,0,0,08554  245906,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Sri Sai Balaji Hospital,"Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross",Anantapur,Andhra Pradesh,,,0,0,,,,0,0,0,0,,25.0,"14.6818877, 77.6005911","Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross, Anantapur",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Sri Sai Kurpa Nursing Home,"10/368, Sarojini Road",Anantapur,Andhra Pradesh,,,08554    274564,0,,,,0,0,0,0,,26.0,"13.6340453, 79.4157431","10/368, Sarojini Road, Anantapur",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Sri Sai Venkateshwara Surgical Clinic,Anantapur,Anantapur,Andhra Pradesh,,,0,0,,,,0,0,0,0,,27.0,"14.6818877, 77.6005911",Anantapur,0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Sudhir Surgical Clinic,Hospital Road,Anantapur,Andhra Pradesh,,,220092,0,,,,0,0,0,0,,28.0,"14.9093514, 78.0060388","Hospital Road,Anantapur-515001",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Suma Eye Clinic,"12-2-870,1St Cross,Sai Nagar",Anantapur,Andhra Pradesh,,,0,0,,,,0,0,0,0,,29.0,"14.6755437, 77.6036802","12-2-870,1St Cross,Sai Nagar,Anantapur",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Swetha Ent Hospital,"#12/350-A,1St Cross ,Sai Nagar",Anantapur,Andhra Pradesh,,,0,0,,,,0,0,0,0,,30.0,"14.6755437, 77.6036802","12/350-A,1St Cross,Sai Nagar,Anantapur",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Vaatsalya Hospital(Ananthapur),"Snechalatha Healthcare Complex, Khaja Nagar, Opp To Ganga Gouri Cinema Complex",Anantapur,Andhra Pradesh,,,277077,0,,,,0,0,0,0,,31.0,,"Snechalatha Healthcare Complex, Khaja Nagar, Opp To Ganga Gouri Cinema Complex",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Varun Children's Hospital,"D. No.14/224, Kamala Nagar",Anantapur,Andhra Pradesh,,,0,0,,,,0,0,0,0,,32.0,"19.0627033, 72.9297396","D. No.14/224, Kamala Nagar",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),"7/201, Court Road",Anantapur,Andhra Pradesh,,,0,0,,,,0,0,0,0,,33.0,"14.6818877, 77.6005911","7/201, Court Road",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Vijaya Nursing Home,Navodaya Colony,Anantapur,Andhra Pradesh,,,220912,0,,,,0,0,0,0,,34.0,"14.6607456, 77.6085681","Navodaya Colony, Anantpur",0,0,515001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Divyasree Hospital,Adimurthy Nagar Guild Of Service Road,Anantapur,Andhra Pradesh,,,08554  274322,0,,,,0,0,0,0,,35.0,,Adimurthy Nagar Guild Of Service Road,0,0,515002,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Mamatha Nursing Home,"12-2-865, 1St Cross, Sai Nagar",Anantapur,Andhra Pradesh,,,08554  275152,9440014646,,,,0,0,0,0,,36.0,"13.0433764, 80.1622367","12-2-865, 1St Cross, Sai Nagar",0,0,515004,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Anantapuram Praja Vaidyasala,"28-639-1, Behind Sangamesh Funtion Hall",Anantapur,Andhra Pradesh,,,0,0,,,,0,0,0,0,,37.0,"14.6735546, 77.6081894","28-639-1, Behind Sangamesh Funtion Hall, Anantapur",0,0,515005,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Balaji Nursing Home,M.F. Road,Anantapur,Andhra Pradesh,,,0,0,,,,0,0,0,0,,38.0,"14.6818877, 77.6005911","M.F. Road,.",0,0,515201,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Dr B V Syamala Ratnam Hospiatal,"Opposite R.T.C Bus Stand, Hindupur (Po)",Anantapur,Andhra Pradesh,,,0,0,,,,0,0,0,0,,39.0,"14.6818877, 77.6005911","Opposite R.T.C Bus Stand, Hindupur (Po) Anantapur",0,0,515201,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Girish Multispeciality Hospital,"#18-1-167, M F Road, Hindupur",Anantapur,Andhra Pradesh,,,0,0,,,,0,0,0,0,,40.0,"14.178135, 77.2728241","18-1-167, M F Road, Hindupur",0,0,515201,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
,Shilpa Hospital,"R.P.G.T Road, Near Sreenivasa Theatre, Hindupur",Anantapur,Andhra Pradesh,,,08556 220728,0,,,,0,0,0,0,,41.0,"13.8358978, 77.5046101","R.P.G.T Road, Near Sreenivasa Theatre, Hindupur, Anantpur, (A.P)-515201",0,0,515201,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,553.0
